Fix1 Fix2 Rndm_FY Rndm_PE Rndm_Animal Phenotype_Circular Phenotype_Continuous
1 1 62 180 12659 4.937 4.937
1 1 62 181 12658 4.351 4.351
1 2 56 182 6083 1.614 1.614
2 4 57 182 6083 2.294 2.294
1 2 80 183 12657 0.207 6.491
2 4 74 183 12657 3.817 3.817
3 4 75 183 12657 4.963 4.963
1 2 49 184 12656 2.320 2.320
1 2 56 185 6082 2.446 2.446
2 4 57 185 6082 4.670 4.670
3 2 51 186 12655 3.789 3.789
3 4 83 186 12655 3.837 3.837
5 5 59 186 12655 0.032 6.315
5 4 60 186 12655 3.450 3.450
1 1 62 187 12654 0.176 6.460
1 2 90 188 12653 0.837 7.120
2 5 67 188 12653 4.232 4.232
3 4 50 188 12653 5.404 5.404
1 1 83 189 12652 4.637 4.637
1 1 83 190 12651 3.108 3.108
1 2 90 191 12650 2.426 2.426
1 2 56 192 6081 3.683 3.683
1 3 57 192 6081 2.235 2.235
2 3 51 192 6081 1.791 1.791
3 4 83 192 6081 2.584 2.584
4 5 54 192 6081 1.295 1.295
5 3 55 192 6081 3.566 3.566
5 4 61 192 6081 5.740 5.740
6 4 85 192 6081 4.613 4.613
6 4 90 192 6081 3.313 3.313
6 5 50 192 6081 3.435 3.435
1 2 90 193 12649 2.783 2.783
1 1 83 194 12648 3.313 3.313
1 2 56 195 12647 3.149 3.149
2 3 57 195 12647 2.803 2.803
3 4 66 195 12647 3.357 3.357
1 2 56 196 6080 4.515 4.515
1 2 70 196 6080 6.139 6.139
3 5 51 196 6080 1.094 7.377
3 3 83 196 6080 1.968 1.968
5 5 55 196 6080 0.670 0.670
6 4 61 196 6080 4.173 4.173
6 4 85 196 6080 0.030 6.313
6 3 90 196 6080 5.217 5.217
6 5 50 196 6080 4.424 4.424
1 1 83 197 6079 5.886 5.886
3 5 61 197 6079 4.973 4.973
4 4 85 197 6079 6.021 6.021
4 3 90 197 6079 5.606 5.606
1 2 75 198 12646 3.542 3.542
1 1 83 199 12645 4.967 4.967
1 1 83 200 6078 5.623 5.623
1 2 90 201 12644 2.245 2.245
4 2 56 202 3681 3.228 3.228
5 5 71 202 3681 1.600 1.600
6 4 62 202 3681 2.982 2.982
6 4 63 202 3681 4.334 4.334
6 5 59 202 3681 1.808 1.808
1 1 83 203 12643 4.728 4.728
1 1 83 204 12642 5.659 5.659
1 1 93 205 12641 3.133 9.416
1 3 85 205 12641 4.822 4.822
1 2 56 206 1809 5.163 5.163
1 3 57 206 1809 5.415 5.415
2 3 51 206 1809 3.805 3.805
3 3 83 206 1809 4.401 4.401
4 5 54 206 1809 2.426 2.426
5 3 55 206 1809 3.758 3.758
1 1 58 207 12640 4.809 4.809
1 1 58 208 12639 5.900 5.900
1 1 93 209 12638 0.049 6.332
1 3 85 209 12638 6.095 6.095
2 4 49 209 12638 3.214 3.214
1 2 79 210 3680 1.708 1.708
2 3 71 210 3680 3.191 3.191
3 4 62 210 3680 0.260 0.260
3 4 63 210 3680 1.391 1.391
4 3 64 210 3680 4.222 4.222
5 4 52 210 3680 6.265 -0.018
6 5 48 210 3680 4.354 4.354
6 3 49 210 3680 1.661 1.661
1 1 58 211 6077 5.592 5.592
1 3 89 211 6077 0.676 0.676
3 5 80 211 6077 4.121 4.121
1 1 58 212 6076 0.960 7.243
3 2 50 213 12637 3.636 3.636
1 1 58 214 6075 0.251 6.534
6 5 67 214 6075 4.232 4.232
1 1 58 215 2501 5.667 5.667
1 2 75 216 6074 5.058 5.058
1 4 76 216 6074 5.141 5.141
2 2 77 216 6074 4.946 4.946
5 5 91 216 6074 5.813 5.813
4 2 70 217 12636 1.181 1.181
5 5 66 217 12636 1.368 1.368
1 1 93 218 12635 0.244 6.528
1 1 58 219 3679 5.563 5.563
1 1 93 220 12634 1.531 7.814
1 2 56 221 2499 3.164 3.164
1 3 57 221 2499 2.123 2.123
2 3 51 221 2499 3.917 3.917
3 4 83 221 2499 5.112 -1.171
4 5 65 221 2499 2.273 2.273
1 1 58 222 12633 0.798 7.081
1 2 85 223 6073 3.550 3.550
2 3 90 223 6073 2.188 2.188
3 5 68 223 6073 4.228 4.228
4 4 50 223 6073 4.214 4.214
1 1 62 224 12632 3.315 3.315
4 5 80 224 12632 1.490 1.490
4 4 86 224 12632 3.634 3.634
5 4 75 224 12632 1.427 1.427
1 1 71 225 6072 2.921 9.204
1 4 62 225 6072 5.856 5.856
2 4 58 225 6072 2.503 2.503
3 3 64 225 6072 3.480 3.480
3 4 65 225 6072 0.226 6.509
1 2 79 226 12631 3.165 3.165
2 3 71 226 12631 3.012 3.012
3 4 62 226 12631 6.254 -0.030
1 1 79 227 6071 1.478 7.761
1 3 71 227 6071 3.276 3.276
2 5 63 227 6071 3.050 3.050
4 5 59 227 6071 6.116 6.116
4 3 60 227 6071 2.663 2.663
5 3 61 227 6071 3.641 3.641
5 4 85 227 6071 5.614 5.614
6 5 75 227 6071 1.061 7.344
1 1 50 228 12630 0.148 6.431
4 2 56 229 3678 1.685 1.685
5 3 57 229 3678 1.976 1.976
6 3 51 229 3678 1.811 1.811
6 3 83 229 3678 5.163 -1.120
6 5 59 229 3678 0.942 0.942
6 5 93 229 3678 1.239 1.239
1 1 50 230 12629 4.588 4.588
1 1 50 231 12628 4.826 4.826
1 1 93 232 12627 0.803 7.086
1 4 48 232 12627 0.420 6.703
2 3 49 232 12627 4.030 4.030
3 5 67 232 12627 3.831 3.831
4 4 50 232 12627 3.445 3.445
1 2 49 233 12626 0.288 0.288
2 5 67 233 12626 4.042 4.042
1 2 85 234 12625 2.758 2.758
2 3 90 234 12625 3.127 3.127
3 5 68 234 12625 1.811 1.811
1 2 56 235 3677 4.524 4.524
2 4 57 235 3677 3.176 3.176
3 2 66 236 12624 0.452 0.452
3 3 53 236 12624 5.637 -0.646
1 2 85 237 12623 5.371 5.371
2 3 90 237 12623 3.047 3.047
1 2 75 238 12622 5.932 -0.351
1 4 76 238 12622 5.165 -1.118
5 2 56 239 12621 4.879 4.879
6 4 57 239 12621 0.053 6.336
6 3 51 239 12621 3.449 3.449
6 4 83 239 12621 5.368 5.368
6 5 54 239 12621 0.990 0.990
6 3 55 239 12621 3.530 3.530
6 5 73 239 12621 5.352 5.352
2 2 52 240 6070 4.834 -1.450
4 5 74 240 6070 5.986 -0.297
5 4 81 240 6070 0.183 0.183
1 1 93 241 12620 2.824 9.108
1 2 57 242 12619 1.090 7.373
2 4 66 242 12619 3.739 3.739
5 5 61 242 12619 3.498 3.498
6 2 57 243 3676 4.274 4.274
6 4 66 243 3676 2.283 2.283
6 3 53 243 3676 3.665 3.665
6 5 59 243 3676 4.637 4.637
6 4 60 243 3676 1.816 1.816
6 3 61 243 3676 2.037 2.037
6 4 74 243 3676 2.450 2.450
6 4 75 243 3676 3.640 3.640
5 2 94 244 12618 2.193 2.193
6 5 71 244 12618 5.371 5.371
6 4 62 244 12618 2.727 2.727
2 2 51 245 2498 3.578 3.578
3 4 83 245 2498 0.024 0.024
4 5 54 245 2498 2.551 2.551
5 3 55 245 2498 0.697 0.697
6 2 74 246 12616 1.607 1.607
4 2 70 247 6069 3.048 3.048
4 4 95 247 6069 0.027 6.310
5 3 62 247 6069 3.613 3.613
6 4 63 247 6069 3.792 3.792
6 4 89 247 6069 5.060 5.060
5 2 76 248 6068 4.597 4.597
5 2 77 249 12615 1.224 7.507
1 1 64 250 12614 1.206 7.489
6 2 84 251 12612 5.916 5.916
6 4 82 251 12612 5.576 5.576
6 5 91 251 12612 4.819 4.819
2 2 80 252 3675 5.343 5.343
3 4 74 252 3675 3.032 3.032
5 5 82 252 3675 5.883 5.883
2 2 78 253 12611 4.770 -1.513
1 1 54 254 6067 4.499 4.499
1 3 55 254 6067 2.929 2.929
2 4 61 254 6067 3.625 3.625
2 4 85 254 6067 0.020 6.303
3 3 90 254 6067 5.793 5.793
1 2 54 255 6066 0.481 0.481
2 5 61 255 6066 4.624 4.624
3 3 85 255 6066 3.109 3.109
2 2 78 256 12610 3.970 -2.313
2 2 91 257 12609 4.572 4.572
2 2 78 258 12608 0.882 0.882
3 2 48 259 12607 6.182 6.182
5 5 68 259 12607 4.196 4.196
4 2 94 260 12606 5.047 5.047
6 5 71 260 12606 5.021 5.021
6 4 62 260 12606 4.294 4.294
6 2 74 261 6065 3.419 3.419
6 4 75 261 6065 3.491 3.491
6 3 76 261 6065 1.429 1.429
6 4 82 261 6065 3.282 3.282
1 1 59 262 3674 0.275 6.558
1 2 55 262 3674 1.587 1.587
2 3 61 262 3674 2.168 2.168
2 4 85 262 3674 4.507 4.507
3 3 90 262 3674 0.940 0.940
6 2 82 263 12605 4.804 4.804
1 1 54 264 6064 4.291 4.291
1 3 55 264 6064 1.221 1.221
2 4 61 264 6064 1.894 1.894
2 3 85 264 6064 2.255 2.255
3 4 90 264 6064 3.015 3.015
5 5 68 264 6064 3.447 3.447
1 2 55 265 12604 2.173 2.173
2 3 61 265 12604 2.394 2.394
2 4 85 265 12604 4.409 4.409
4 5 67 265 12604 4.750 4.750
5 4 50 265 12604 1.866 1.866
1 1 54 266 6063 5.429 5.429
1 3 55 266 6063 3.556 3.556
2 4 61 266 6063 4.998 4.998
2 4 85 266 6063 3.531 3.531
3 4 49 266 6063 4.427 4.427
2 2 78 267 12603 2.446 2.446
6 2 91 268 12602 2.853 2.853
1 1 54 269 6062 4.345 4.345
1 3 55 269 6062 3.317 3.317
2 4 61 269 6062 2.697 2.697
2 3 85 269 6062 2.601 2.601
1 1 54 270 3673 3.647 3.647
1 3 55 270 3673 4.090 4.090
2 4 61 270 3673 2.195 2.195
2 4 85 270 3673 3.721 3.721
2 2 70 271 6061 3.524 3.524
3 3 71 271 6061 5.648 -0.636
4 4 72 271 6061 3.262 3.262
5 3 63 271 6061 2.419 2.419
5 4 89 271 6061 3.820 3.820
6 4 52 271 6061 2.194 2.194
6 5 73 271 6061 5.089 5.089
6 3 74 271 6061 2.218 2.218
2 2 91 272 12601 1.629 1.629
1 1 79 273 2497 5.634 5.634
2 5 63 273 2497 1.756 1.756
3 3 64 273 2497 1.219 1.219
4 4 65 273 2497 2.926 2.926
5 2 77 274 12600 6.088 6.088
6 2 79 275 12599 5.789 -0.494
6 5 66 275 12599 6.271 6.271
1 1 64 276 3672 5.780 5.780
1 4 65 276 3672 0.817 0.817
2 5 80 276 3672 2.966 2.966
3 3 74 276 3672 0.234 0.234
4 5 84 276 3672 1.914 1.914
4 2 94 277 2496 2.560 2.560
6 5 71 277 2496 3.442 3.442
6 4 62 277 2496 4.826 -1.457
6 4 63 277 2496 1.327 1.327
6 2 74 278 6060 0.564 0.564
6 4 75 278 6060 2.547 2.547
6 3 84 278 6060 2.619 2.619
6 4 77 278 6060 5.075 5.075
1 2 70 279 6059 0.077 0.077
2 3 71 279 6059 3.321 3.321
3 4 62 279 6059 0.240 0.240
3 4 63 279 6059 5.747 -0.536
4 3 64 279 6059 2.814 2.814
4 2 62 280 12598 1.222 1.222
1 1 64 281 6058 0.900 7.184
1 4 65 281 6058 1.036 1.036
3 5 80 281 6058 1.742 1.742
3 3 74 281 6058 1.737 1.737
4 3 81 281 6058 5.758 -0.525
5 4 84 281 6058 1.492 1.492
5 4 82 281 6058 1.253 1.253
1 1 74 282 6057 5.709 5.709
1 3 81 282 6057 4.243 4.243
3 5 50 282 6057 2.532 2.532
1 2 76 283 12597 2.449 2.449
1 1 57 284 12596 5.408 5.408
1 4 51 284 12596 2.205 2.205
2 4 83 284 12596 0.150 0.150
2 2 51 285 6056 4.615 4.615
3 5 58 285 6056 3.536 3.536
4 5 59 285 6056 4.872 4.872
5 5 61 285 6056 3.223 3.223
6 4 48 285 6056 6.237 6.237
6 5 75 285 6056 4.382 4.382
6 3 76 285 6056 1.138 1.138
3 2 84 286 6055 4.046 4.046
4 4 82 286 6055 2.504 2.504
1 1 86 287 12595 5.415 5.415
1 3 81 287 12595 1.730 1.730
1 1 57 288 12594 2.989 9.272
1 3 51 288 12594 4.978 4.978
2 4 83 288 12594 2.156 2.156
1 1 86 289 12593 1.650 7.933
1 3 81 289 12593 1.014 1.014
2 4 76 289 12593 2.902 2.902
1 1 86 290 6054 0.024 6.307
1 3 81 290 6054 3.255 3.255
2 4 84 290 6054 2.262 2.262
5 2 82 291 6053 0.337 6.620
1 1 74 292 12592 3.925 3.925
2 2 83 293 12591 2.073 2.073
1 1 64 294 6052 5.932 5.932
1 4 52 294 6052 1.115 1.115
2 5 80 294 6052 4.933 4.933
3 4 74 294 6052 3.965 3.965
4 4 81 294 6052 5.201 5.201
2 2 53 295 6051 1.657 1.657
3 5 55 295 6051 1.696 1.696
4 4 61 295 6051 2.715 2.715
5 4 85 295 6051 4.398 4.398
5 3 90 295 6051 5.264 5.264
1 2 76 296 12590 2.185 2.185
